index,batch,document,client,priority,date,status
2,BATCH 2751232,2,559_comp_dendermonde,4,11/22/2022 12:19:38 PM,Ready
3,BATCH 2751234,1,559_comp_dendermonde,4,11/22/2022 12:19:45 PM,Ready
4,BATCH 2161600,1,497_gem_meise,4,11/22/2022 12:40:46 PM,Ready
5,BATCH 4249164,5,473_stad_kortrijk,4,11/22/2022 12:42:45 PM,Ready
6,BATCH 2161646,1,497_gem_meise,4,11/22/2022 1:10:00 PM,Ready
7,BATCH 2161648,1,497_gem_meise,4,11/22/2022 1:10:02 PM,Ready
8,BATCH 3131142,2,509_gem_dilbeek,4,11/22/2022 1:15:25 PM,Ready
14,hvz_noordlimburg-03- BATCH 11034 11/21/2022 4:32:05 PM,25,cs_besturen_01_team3,5,11/21/2022 6:32:05 PM,Ready
16,gem_zandhoven-MULTI- BATCH 43691,3,cs_besturen_schaubroeck,5,11/21/2022 9:01:13 PM,Ready
20,BATCH 2207218,1,578_gem_zelzate,5,11/22/2022 11:39:16 AM,Ready
21,BATCH 2207220,1,578_gem_zelzate,5,11/22/2022 11:39:19 AM,Ready
22,BATCH 2207222,1,578_gem_zelzate,5,11/22/2022 11:39:22 AM,Ready
23,gem_bonheiden-MULTI- BATCH 75618,1,cs_besturen_schaubroeck,5,11/22/2022 11:43:38 AM,Ready
24,prov_wvlaanderen-05- BATCH 64996 11/22/2022 9:44:01 AM,20,cs_besturen_01_team3,5,11/22/2022 11:44:01 AM,Ready
25,gem_koksijde-MULTI- BATCH 750068,7,cs_besturen_schaubroeck,5,11/22/2022 11:44:40 AM,Ready
26,gem_kruisem-MULTI- BATCH 7500691,7,cs_besturen_schaubroeck,5,11/22/2022 11:44:55 AM,Ready
27,gem_merelbeke-MULTI- BATCH 75007 11/22/2022 9:48:04 AM,2,cs_besturen_schaubroeck,5,11/22/2022 11:48:04 AM,Ready
28,ocmw_kruisem-MULTI- BATCH 750072,1,cs_besturen_schaubroeck,5,11/22/2022 11:48:07 AM,Ready
29,zorg_lommel-03- BATCH 11041936,2,cs_besturen_01_team3,5,11/22/2022 11:48:41 AM,Ready
30,stad_maaseik-03- BATCH 11041952,2,cs_besturen_01_team3,5,11/22/2022 11:48:45 AM,Ready
31,ocmw_malle-03- BATCH 11041954,4,cs_besturen_01_team3,5,11/22/2022 11:48:47 AM,Ready
32,stad_leuven-03- BATCH 11041956,5,cs_besturen_01_team3,5,11/22/2022 11:48:51 AM,Ready
33,ocmw_tongeren-04- BATCH 9476956,4,cs_besturen_01_team3,5,11/22/2022 11:48:57 AM,Ready
34,prov_wvlaanderen-05- BATCH 64997,10,cs_besturen_01_team3,5,11/22/2022 11:49:17 AM,Ready
35,zorg_wervik-MULTI- BATCH 4372144,2,cs_besturen_schaubroeck,5,11/22/2022 11:49:43 AM,Ready
36,agb_puurs_sint_amands-MULTI- BAT,4,cs_besturen_schaubroeck,5,11/22/2022 11:50:48 AM,Ready
